author,publishedAt,likeCount,textOriginal
@MrBeast,2024-08-04T02:28:50Z,87252,how long could you have stayed in the bunker?
@generallygay2831,2024-08-10T07:09:39Z,0,wowwwwwwwwww❤❤
@namefame5837,2024-08-10T07:09:10Z,0,Love from Bangladesh
@Kian-ch7qn,2024-08-10T07:06:24Z,0,Day 100 of telling me beast to put me in a video
@mylmaxe,2024-08-10T07:04:50Z,1,Hugo carried so much lol
@thilaiang650,2024-08-10T07:03:21Z,0,New video 🔥
@PWOJWOKOCHALLA-u9g,2024-08-10T07:03:11Z,0,i will stay 1 year
@Its_sherazmohana,2024-08-10T06:58:56Z,2,How to survive in nuclear bunkers 😮😮
@saminsikdervlog,2024-08-10T06:57:45Z,0,Love you mr beast 💘
@toqeerkazmi6834,2024-08-10T06:55:17Z,5,I am waiting for my cookie in Pakistan 😊
